0.5178317053317053,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 9 8 1 5 3 7 1 5 2 9 5 1 9 1 8 2 5 2 9 4 7 3 1 7 4 5 4 6 2 9 1 9 2 7 2
 9 1 8 4 5 8 8 8 4 7 1 9 4 5 3 9 1 2 8 1 5 1 5 9 2 5 4 5 1 4 5 4 1 5 3 2 6
 3 5 1 9 9 4 5 4 9 2 2 5 1 4 5 1]"
0.4394586894586895,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 9 8 1 5 3 5 4 6 2 9 5 1 9 1 5 3 5 2 9 4 7 3 1 7 1 5 4 6 2 8 1 9 2 7 3
 9 1 8 4 5 8 2 8 4 5 2 3 4 4 8 1 7 2 6 1 5 1 5 9 2 5 4 5 1 2 5 1 1 5 3 2 6
 3 6 2 9 9 4 5 4 9 2 1 5 1 4 1 1]"
0.4612840862840863,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[5 4 6 8 1 5 3 7 4 5 2 9 5 1 9 1 7 2 5 2 9 4 7 3 2 7 1 7 4 6 2 8 1 9 2 7 3
 9 1 9 4 5 8 8 8 4 8 2 3 4 4 8 3 1 2 6 1 5 4 6 9 2 5 4 5 1 4 7 1 1 5 3 2 6
 3 5 2 9 4 4 5 4 9 2 2 5 1 4 1 9]"
0.456043956043956,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[5 4 9 8 1 5 3 7 4 5 2 9 5 1 9 1 8 2 5 2 9 4 7 3 1 7 4 5 4 6 2 9 1 8 7 7 2
 9 1 9 4 5 4 8 8 4 7 1 8 4 5 8 3 1 2 9 1 5 1 8 9 2 8 4 5 1 2 5 1 1 5 3 2 6
 3 5 1 5 9 4 5 4 9 2 2 1 1 4 7 1]"
0.5323310948310948,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 8 8 1 5 3 7 4 6 2 9 5 1 9 1 8 2 5 2 9 4 7 3 2 7 1 5 4 6 2 9 1 9 2 7 2
 9 1 8 4 5 8 8 8 4 5 1 8 4 5 3 9 1 2 9 1 5 4 8 9 2 5 4 5 1 2 5 1 4 5 3 2 6
 3 5 2 9 9 4 5 4 9 2 1 5 1 4 1 1]"
0.4524063899063899,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 6 8 1 5 3 7 1 6 2 9 5 1 9 1 8 2 5 2 9 4 5 3 1 5 4 5 4 6 2 9 1 9 7 7 3
 9 1 9 4 5 8 8 8 4 5 2 9 4 5 8 1 1 2 6 1 5 1 8 9 2 8 4 5 1 2 5 1 4 5 3 2 6
 3 6 2 9 9 4 5 2 9 2 1 5 1 4 1 1]"
0.49837199837199836,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 5 8 1 5 3 7 4 5 2 9 5 1 9 1 8 2 5 2 9 4 7 3 1 7 4 5 4 6 2 8 1 9 7 7 3
 9 1 8 4 5 4 8 8 4 5 1 3 4 5 3 3 1 2 8 1 7 4 8 9 2 8 4 5 1 1 7 1 1 5 3 2 6
 3 6 2 8 9 4 5 4 8 2 2 5 1 4 5 1]"
0.45670533170533173,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 9 8 1 5 3 7 1 6 2 9 5 1 9 2 5 3 6 2 9 4 7 3 1 7 1 5 4 6 2 9 1 8 2 7 3
 9 1 3 4 4 8 2 8 4 5 3 8 4 5 8 9 1 2 6 1 5 1 5 9 1 5 4 5 1 4 7 1 4 5 3 2 6
 3 5 2 9 9 4 5 4 9 2 2 5 1 4 1 1]"
0.4884513634513634,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 5 8 1 5 3 7 1 6 2 9 5 1 9 1 5 3 5 2 9 4 7 3 1 7 1 5 4 6 2 8 1 3 7 7 2
 9 1 8 4 5 4 8 8 4 5 1 3 4 5 8 9 1 2 9 1 5 1 5 9 2 5 4 5 1 2 5 1 1 5 3 2 6
 3 5 1 9 9 4 5 4 9 2 1 5 1 4 1 1]"
0.48387260887260886,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 9 8 1 5 3 7 1 6 2 9 5 1 9 4 8 2 5 2 9 4 7 3 1 7 3 5 4 6 2 9 1 3 7 7 2
 9 1 8 4 5 4 8 8 4 5 1 9 4 5 3 9 1 2 8 1 5 1 5 9 1 5 4 5 1 2 5 1 4 5 3 2 6
 3 5 1 5 9 4 5 2 9 2 1 5 1 4 5 1]"
0.4375763125763126,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[5 4 5 8 1 5 3 7 4 5 2 9 5 1 9 1 8 2 5 2 9 4 5 3 2 7 4 5 4 6 2 9 1 3 7 7 3
 9 1 3 5 4 8 8 8 4 7 3 3 4 4 3 9 1 2 6 1 5 4 5 9 2 5 4 5 1 1 7 1 1 5 3 2 6
 3 5 1 9 9 4 5 4 9 2 2 5 1 4 7 1]"
0.42358567358567356,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 9 8 1 5 3 7 1 6 2 9 5 1 9 2 8 2 5 2 9 4 7 3 1 7 1 5 4 6 2 9 1 9 2 7 3
 9 1 9 4 5 8 8 8 4 8 1 3 4 5 8 3 1 2 8 1 5 1 5 9 2 5 4 5 1 1 5 1 4 5 3 2 6
 3 6 2 8 9 4 5 4 8 2 2 5 1 4 1 1]"
0.47891229141229136,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 5 8 1 5 3 7 4 5 2 9 5 1 9 1 5 3 5 2 9 4 5 3 1 7 1 5 4 6 2 9 1 3 7 7 3
 9 1 9 4 5 8 8 8 4 5 3 3 4 4 3 1 1 2 5 1 5 5 5 9 9 5 4 5 1 4 7 1 1 5 3 2 6
 3 5 2 5 9 4 5 4 9 2 2 5 1 4 1 1]"
0.4841524216524216,"[6 2 6 8 1 9 3 6 4 9 2 8 5 1 9 1 9 4 7 2 8 4 6 3 1 7 2 9 4 8 2 9 1 7 2 9 2
 9 1 9 4 8 4 6 4 2 5 1 9 4 5 3 9 1 1 9 1 7 4 9 8 2 7 4 5 1 4 6 4 1 5 3 8 2
 5 5 2 9 8 4 5 4 9 2 1 7 1 7 2 9]","[6 4 6 8 1 5 3 7 4 5 2 9 5 1 9 1 8 4 5 2 9 4 7 3 1 5 3 5 4 6 2 9 1 9 7 7 3
 9 1 8 4 5 4 8 8 4 5 4 8 4 5 8 9 1 2 8 1 5 1 5 9 2 5 4 5 1 1 7 1 1 5 3 2 6
 3 5 2 5 9 4 5 4 9 2 2 5 1 4 5 1]"
